제목,URL,내용
"태영건설 주요 채권단, 10일 추가 자구안 논의",https://v.daum.net/v/20240109171659369,"[아이뉴스24 이효정 기자] 산업은행이 10일 주요 채권단을 소집해 태영 측의 추가 자구안을 논의한다. 오는 11일 태영건설 워크아웃 개시를 앞두고 주요 채권단이 태영 측이 제시한 추가 자구안의 신뢰성을 검증하는 자리가 될 전망이다.
9일 윤세영 태영그룹 창업 회장은 서울 여의도 태영그룹 본사에서 ""필요하면 TY홀딩스와 SBS 보유 지분을 담보로 제공하겠다""며 ""기존 자구 계획안 외에 다른 계열사 매각이나 담보 제공도 계획도 있다""고 말했다.
이에 주채권은행인 산업은행은 채권단을 대표해 ""태영그룹이 발표한 추가 자구 계획과 계열주의 책임 이행 의지에 대해 긍정적으로 평가한다""며 ""시장 신뢰를 회복할 출발점이 될 것""이라며 긍정적으로 평가했다.
그러면서도 ""태영그룹이 약속한 자구 계획 중 하나라도 지켜지지 않으면 워크아웃 절차는 중단될 수 있다""며 ""실사 과정에서 대규모 추가 부실이 발견되면 워크아웃 절차가 중단될 것""이라고도 했다.
태영 측은 지난달 태영건설 워크아웃 신청 당시 △태영인더스트리 매각 대금 1549억원 지원 △에코비트 매각 및 매각 대금 지원 △블루원 지분 담보 제공 및 매각 추진 △평택싸이로 담보 제공을 자구안으로 제출했지만, 대주주의 사재 출연 등이 빠져 비판이 일자 태영 측은 추가 자구안을 내놨다.
회의는 산업은행 여의도 본점에서 5대 시중은행과 기업은행 등 주요 채권자들이 참석한다."
태백·영월·정선·강원남부 대설주의보,https://v.daum.net/v/20240109171910455,
[충북·세종 날씨] 내일 흐리고 눈·비... 예상적설량 최대 15Cm,https://v.daum.net/v/20240109162323297,"충북과 세종 오늘은 대체로 흐리고 낮부터 눈 또는 비가 내렸습니다. 낮 최고 기온은 3도 내외를 보였습니다. 내일은 대체로 흐리고, 충북 북부는 오전까지 충북 중남부는 낮까지 눈 또는 비가 내리겠습니다. 내일까지 예상 적설량은 북부 지역이 5~15Cm 중남부 지역은 3~8 Cm 많은 곳은 10Cm이상 내리는 곳도 있겠습니다. 예상강수량은 5~20mm입니다. 눈이 내린 후 빙판길과 도로 살얼음에 주의하시기 바랍니다. 아침 최저기온은 -3도에서 -1도, 낮 최고 기온은 청주 4도 충주 4도 제천 4도 세종 4도 등 3도에서 5도의 분포를 보이겠습니다."
"[인터뷰 전문] 천하람 ""'제3지대' 지역구는 모여서, 비례는 별개로 치르는 것도 가능한 시나리오""",https://v.daum.net/v/20240109155143738,
"[단독] 檢, 김만배-신학림 한 자리서 조우형에 ‘尹 커피’ 관련 전화 의심",https://v.daum.net/v/20240109172102543,"‘대선 개입 여론조작’ 의혹을 수사하는 검찰이 대장동 자금책 조우형씨로부터 “김만배(화천대유자산관리 대주주)씨가 전화로 ‘윤석열 커피’ 의혹을 물었을 때 아니라고 분명히 말했다”는 취지의 진술을 확보한 것으로 9일 파악됐다. 검찰은 김씨가 조씨와 이런 통화를 할 당시 허위 인터뷰를 진행한 신학림(전 뉴스타파 전문위원)씨도 함께 있었던 것으로 파악하고 있어 두 사람이 커피 의혹의 허위성을 인지하고도 공모했을 가능성에 무게를 두고 있다. 하지만 김씨와 신씨 측은 검찰의 이런 의심에 대해 사실이 아니라고 부인하고 있다.
서울신문 취재를 종합하면 서울중앙지검 특별수사팀(팀장 강백신)은 최근 조씨를 불러 조사하는 과정에서 “2021년 9월 19일 김씨가 ‘부산저축은행 수사 당시 윤석열 검사가 커피를 타준 것이 맞느냐’고 전화로 물어왔고, 나는 ‘사실이 아닌 것을 알면서도 왜 그렇게 질문 하느냐’고 반문했다”는 취지의 진술을 확보했다. 김씨는 당시 조씨에게 약 3분씩 두 차례 전화를 걸어 ‘부산저축은행 수사 무마’ 의혹 등을 캐물었던 것으로 전해졌다.
검찰은 당시 김씨가 ‘스피커폰’을 켜고 조씨와의 대화 내용을 신씨와 함께 들었다고 의심하고 있다. 이 날은 이른바 ‘김만배-신학림 허위 인터뷰’(2021년 9월 15일)가 진행되고 나흘이 지난 시점이다. 당시 김씨는 조씨 외에도 대장동 관계자 여럿에게 전화를 걸어 ‘커피 의혹이 맞느냐’며 관련 내용을 물어봤다고 한다.
앞서 뉴스타파가 공개한 녹취록에 따르면 김씨는 신씨와 허위 인터뷰를 하면서 “(조우형이 검찰에) 갔더니, 커피 한 잔 주면서 ‘가 인마’라고 했다. 윤석열이가 ‘니가 조우형이야?’ 이러면서”라고 말했다. 이에 신씨는 “윤석열이 (조우형을) 보냈단 말이야?”라고 되물었다. 김씨는 “응. 다른 검사가 커피, 몇 가지 하더니 보내주더래. 그래서 사건이 없어졌어”라고 답했다. 이를 놓고 더불어민주당 등은 ‘윤 대통령이 커피 타주고 수사를 무마했다’는 ‘윤석열 커피’ 의혹을 집중적으로 부각했다.
김씨 측은 이날 서울신문과의 통화에서 “당시 조씨와 전화를 했을 수 있겠지만 그런 대화를 한 사실이 없고 필요도 없던 상황이었다”며 “(신씨와의 인터뷰에서도) 김씨는 ‘윤석열이 커피를 타줬다’고 직접 말한 적이 없다”고 해명했다. 신씨 측도 ‘사실이 아니다’는 입장이다.
곽진웅·송수연 기자"
"우크라, 러 '파상 공습'에 대공미사일 동나",https://v.daum.net/v/20240109171221205,"(이스탄불=연합뉴스) 김동호 특파원 = 우크라이나군이 최근 잇따르는 러시아군의 대규모 공습에 대응하다 대공 무기가 부족해졌다고 9일(현지시간) 밝혔다.
로이터 통신에 따르면 유리 이흐나트 우크라이나 공군 대변인은 이날 TV 방송에 출연해 ""우크라이나는 최근 발생한 3번의 공격에 (무기) 비축량 상당부분을 사용했다""고 말했다.
그러면서 ""대공 유도 미사일이 부족한 것은 분명하다""고 털어놨다.
작년 12월 29일 러시아가 우크라이나에 개전 이후 역대 최대 규모의 폭격을 감행한 이후 양국은 새해 들어서도 공습을 주고받으며 화력을 쏟아붓고 있다.
우크라이나는 전날에도 러시아군의 공습에 대응해 순항미사일 18기, 샤헤드 무인기(드론) 8대 등을 격추했다고 밝혔다.
dk@yna.co.kr
▶제보는 카톡 okjebo"
"이재명, '이낙연 탈당' 앞두고 내일 퇴원 결정…""상태 호전""",https://v.daum.net/v/20240109161501902,"더불어민주당 이재명 대표가 흉기 피습 8일 만인 오는 10일 퇴원한다.
민주당 관계자는 9일 국회에서 기자들과 만나 ""이 대표 상태가 많이 호전돼서 내일 퇴원한다""라며 ""퇴원하면 자택으로 귀가하고 당분간 자택에서 치료를 이어갈 예정""이라고 밝혔다.
이 관계자는 ""당무 복귀는 미정""이라면서 ""퇴원은 오늘 병원에서 결정했다""고도 덧붙였다.
이 대표의 퇴원은 때마침 당내 탈당 러시가 본격화하기 직전에 이뤄졌다. 자칭 혁신계라고 불리는 당내 비이재명계 모임 '원칙과상식'이 10일 오전 기자회견을 공지한 상태고, 이낙연 전 대표 역시 그 다음날인 11일 탈당 및 신당 창당 선언 기자회견을 열 예정이다.
'원칙과상식' 소속 조응천 의원도 10일까지 통합 비상대책위원회 구성 및 대표직 사퇴 요구에 대해 이 대표가 답하지 않으면 탈당하겠다고 밝힌 상태다. 따라서 이 대표의 이날 퇴원 결정은 당내 줄탈당을 의식한 정치적 결정이라는 해석이 나온다.
이 대표는 지난 2일 부산 현지 방문 일정 중 김모 씨로부터 목 부위를 흉기로 습격당했다. 이 대표는 곧바로 부산대병원에서 응급 치료를 마친 뒤 헬기로 서울대병원으로 이송돼 수술과 입원 치료를 받았다.
CBS노컷뉴스 김기용 기자 kdragon@cbs.co.kr
▶ 기자와 카톡 채팅하기▶ 노컷뉴스 영상 구독하기 "
단양군 응급의학과 의사 채용 불발에 연봉 4억2천만원 '껑충',https://v.daum.net/v/20240109171421267,"(단양=연합뉴스) 권정상 기자 = 충북 단양군이 오는 7월 정식 개원을 앞둔 보건의료원에 근무할 응급의학과 전문의의 연봉을 4억2천여만원으로 올려 제시했다.
지난해 11월 진행한 보건의료원 전문의 채용 과정에서 응급의학과 응시자 1명이 자격 미달로 탈락하면서 추가 모집에 따른 연봉 인상이 불가피해진 탓이다.
9일 단양군에 따르면 보건의료원 응급의학과 전문의 1명을 채용하기 위한 추가 모집이 오는 11일까지 진행된다. 
연봉 수준은 4억2천240만원으로, 1차 모집 때의 3억8천400만원보다 10% 인상됐다. 
앞서 진행한 2, 3차 모집에서는 4억320만원을 제시했으나 적격자를 찾지 못했다.
단양군이 새로 제시한 연봉은 지방자치단체가 운영하는 보건의료원 중 최고 수준으로 알려졌다.
군 관계자는 ""공공의료원 중에서는 높은 수준이지만 일반 병원과 비교해서는 그리 높다고 볼 수 없다""면서 ""돈을 더 주더라도 우수 의료진을 확보해야 한다는 것이 단양군의 입장""이라고 전했다.
그러나 단양군이 높아진 연봉으로 응급의학과 전문의 채용에 성공할 경우 1차 모집 때 확보한 의료진과의 형평성 문제가 제기될 전망이다.
단양군은 1차 모집 때 3명의 전문의를 채용했는데, 연봉 수준은 응급의학과 3억8천400만원, 내과 3억6천600만원, 정신건강의학과 2억6천400만원이다.
이 때문에 단양군도 외부의 법률 조언을 받아 이미 채용을 완료한 의료진의 연봉을 인상할지 여부를 결정하겠다는 입장이다.
단양군은 보건의료원 소속 의사와 간호사를 위한 숙소로 아파트 6채를 매입한 상태로, 앞으로 15채를 추가 매입할 방침이다.
jusang@yna.co.kr
▶제보는 카톡 okjebo"
새해 외국인 관심주는 LGD·KT·KT&G,https://v.daum.net/v/20240109171808422,"올 들어 첫 5거래일 동안 외국인투자자가 연속해서 순매수한 종목은 LG디스플레이와 KT, KT&G, 한국항공우주 등으로 나타났다.
외국인이 투자를 많이 한 종목이라는 사실 자체가 실적 개선과 주가 반등 신호로 읽힐 수 있어 주목된다.
9일 한국거래소에 따르면 1월 들어 첫 5거래일 동안 연속해서 외국인의 순매수가 들어온 종목은 코스피와 코스닥을 합해 모두 72개다. 이 중 상위 5개 종목은 LG디스플레이(323만7701주), KT(71만1386주), KT&G(65만5812주), 한국항공우주(61만2387주), HD현대일렉트릭(45만3711주)으로 확인됐다.
LG디스플레이는 지난달 19일 1만940원을 저점으로 반등이 시작됐다. 이후 추세적 상승을 보이며 이달 9일에는 전일보다 1.62% 오른 1만3940원으로 장을 마쳤다.
정철동 LG디스플레이 사장은 미국 라스베이거스에서 ""회사를 재무적으로 건강하게 만들고 흑자 전환을 이끌어가는 것을 계획하고 있다""고 말했다.
당장 2022년과 2023년 실적은 2조~3조원대의 영업적자가 예상되지만 올해는 다를 것이라는 기대감을 내비친 것이다. 외국인의 수급이 들어온 것도 역사적 저점까지 내려간 주가가 반등할 타이밍이라는 판단에 따른 것으로 풀이된다.
KT는 작년 11월 30일 이후 하루도 빠지지 않고 외국인의 순매수가 이어진 종목이다. 특히 최근 한 달 사이에 모두 322만8000주 넘게 외국인의 매수세가 유입됐다.
증권가에서는 올해 1분기 KT의 영업이익을 전 분기 대비 1.6배로 불어난 4800억원 수준으로 예상하고 있다. 작년 4분기 추정 영업이익은 3000억원에 불과하기 때문이다. 
김준섭 KB증권 연구원은 ""최근 물가 상승에도 불구하고 비용 통제에 성공한 데다 기업 간 거래(B2B) 사업 부문의 성장세가 두드러졌다""고 분석했다.
한국항공우주는 지난달 28일부터 외국인의 순매수세가 연속해서 들어오고 있다. 이달 9일에도 1.31% 오른 5만4300원에 장을 마감했다. 장남현 한국투자증권 연구원은 ""한국항공우주는 2027년까지 꾸준한 성장세가 예상된다""면서 ""올해 국내와 해외 모두에서 큰 폭의 실적 개선이 예상되고 KF-21을 중심으로 대규모 양산이 시작되며 폴란드향 FA-50 훈련기 매출이 본격화될 것""이라고 내다봤다.
전통적인 배당주로 분류되는 KT&G 역시 올 들어 외국인의 꾸준한 순매수가 이어지고 있다. 해당 기간(1월 2~9일) 주가도 8만6000원에서 9만600원으로 올랐다. 
KT&G는 영업이익을 꾸준히 1조원 이상 기록하는 데다 최근 2년 동안 주당 5000원 이상의 배당을 주면서 배당수익률도 5%대를 훌쩍 넘겼다. 최지호 삼성증권 연구원은 ""국내 수요가 감소하는 점은 우려되지만 올해도 매출액 6조원에 영업이익 1조1700억원이 예상된다""고 했다.
[최희석 기자]"
日증시 33년만에 최고…거품경제 시절 주가 회복,https://v.daum.net/v/20240109171804413,"일본 증시 대표 주가지수인 닛케이225평균주가(닛케이지수)가 33년10개월 만에 최고치를 기록했다. 종목 전반에 매수세가 몰리면서 버블(거품) 때로 주가를 끌어올린 것이다.
9일 닛케이지수는 전 거래일보다 1.2% 오른 3만3763으로 거래를 마쳐 1990년 3월 이후 33년10개월 만에 가장 높은 수준을 기록했다. 미국 증시의 기술주 상승세에 힘입어 도쿄 증시에서도 도쿄일렉트론과 어드밴테스트 등 반도체 관련 주식을 중심으로 매수세가 유입됐다.
여기에 올해 새롭게 시작된 소액투자비과세제도(NISA) 역시 개인의 주식 매수로 연결됐다는 분석이다. 이에 따라 장중 한때 주가가 3만3990까지 오르는 등 버블 경제 붕괴 후 고점을 6개월 만에 경신했다. 앞서 닛케이지수는 지난해 7월 3일 거품 붕괴 후 종전 최고치인 3만3753까지 올랐다가 그 뒤 반년간 이를 뚫지 못했다.
닛케이지수는 지난해 봄 '투자 귀재' 워런 버핏이 5대 종합상사를 중심으로 투자 확대를 밝히면서 전 세계적으로 주목받기 시작했다. 해외 기관투자자도 시장이 저평가됐다는 판단을 내리면서 투자를 늘렸고, 작년 한 해 동안 28%나 오르며 1989년 이후 최고 상승률을 기록했다.
한편 닛케이지수는 버블 정점 때인 1989년 말에 3만8915로 최고치를 기록했지만, 버블 붕괴와 리먼 쇼크에 따른 금융위기 등의 영향으로 2009년 3월에는 7054까지 추락한 바 있다.
[도쿄 이승훈 특파원]"
